Location_Name,County,Utilities,Type,Address,Latitude,Longitude,url,Languages,Clients
101 Temple,,,Spiritual,"Spiritual, all",13.167268,76.66249,www.google.com,,
A M Shaikh College Hospital,,Hospital,,", all",15.87824728,74.51828406,www.google.com,,
Aadumalleswara,,,,", all",14.193349,76.394257,www.google.com,,
Aapikka's Restaurant,,Hotel,,", all",12.90727345,77.60747654,www.google.com,,
Aaraike Hospital,,Hospital,,", all",14.4557808,75.92039125,www.google.com,,
Aashirvad Hospital,,Hospital,,", all",16.75266239,77.13536239,www.google.com,,
Abbey Falls Walking Trail,,,Waterfalls,"Waterfalls, all",12.458185,75.718265,www.google.com,,
Abbi Falls,,,Waterfalls,"Waterfalls, all",12.457666,75.716491,www.google.com,,
Abbi Falls,,,Waterfalls,"Waterfalls, all",12.458263,75.719547,www.google.com,,
abbihal bus stop,,Public Transport,,", all",16.7900203,75.0329899,www.google.com,,
ABM AMRO ATM,,atm,,", all",13.00447663,77.5534808,www.google.com,,
Achakanya Waterfals,,,Water_Activities,"Water_Activities, all",13.816611,75.177657,www.google.com,,
Achutaraya Temple,,,Spiritual,"Spiritual, all",15.332304,76.470027,www.google.com,,
Acme Auto gas,,Fuel Station,,", all",12.3181954,76.663362,www.google.com,,
Adagur Lake,,,Water_Activities,"Water_Activities, all",12.522725,76.038103,www.google.com,,
Adihalli,,Public Transport,,", all",13.2961129,76.3259959,www.google.com,,
Adithaya Orthopedic,,Hospital,,", all",13.33767821,77.11681791,www.google.com,,
Advaith,,Fuel Station,,", all",12.91692394,77.60976158,www.google.com,,
Advaitha Petrol Bunk,,Fuel Station,,", all",12.9275361,77.5894406,www.google.com,,
Aegis Auto Gas,,Fuel Station,,", all",12.9862919,77.5724177,www.google.com,,
Aegis Autogas,,Fuel Station,,", all",13.0208305,77.56306816,www.google.com,,
Aegis Autogas,,Fuel Station,,", all",12.9460933,77.5950233,www.google.com,,
Aegis Autogas,,Fuel Station,,", all",13.0207983,77.562924,www.google.com,,
Agadi Hospital,,Hospital,,", all",12.9492111,77.59780361,www.google.com,,
Agasthya Lake,,,Water_Activities,"Water_Activities, all",15.91969,75.686625,www.google.com,,
Ageis auto gas/Emission testng,,Fuel Station,,", all",12.9383074,77.4926135,www.google.com,,
Aghoreshwara temple,,,Spiritual,"Spiritual, all",13.169639,76.667726,www.google.com,,
AGS Layout Bus Stand,,Public Transport,,", all",12.9123803,77.5371751,www.google.com,,
Agumbe Rainforest Research Station,,,,", all",13.518667,75.090507,www.google.com,,
Agumbe Sunset View Point,,,,", all",13.496566,75.08082,www.google.com,,
Agumbe Sunset View Point,,,,", all",13.497689,75.081202,www.google.com,,
Agumbe Sunset View Point,,,,", all",13.496566,75.08082,www.google.com,,
AIHOLE fort,,,Heritage,"Heritage, all",16.017725,75.883985,www.google.com,,
Aihole Museum,,,Heritage,"Heritage, all",16.020395,75.882533,www.google.com,,
Aishwarya Hospital,,Hospital,,", all",12.32313684,76.60930717,www.google.com,,
Aishwarya Petrol Bunk,,Fuel Station,,", all",12.3238524,76.6130152,www.google.com,,
Ajjampura,,Public Transport,,", all",13.7310791,76.0102985,www.google.com,,
Akkihebbalu,,Public Transport,,", all",12.6254482,76.3782747,www.google.com,,
Alamatti Dam krishna River,,,Water_Activities,"Water_Activities, all",16.329261,75.885958,www.google.com,,
Aland,,Fuel Station,,", all",17.5742257,76.5701567,www.google.com,,
Aland,,Fuel Station,,", all",17.563926,76.564601,www.google.com,,
Aland,,Fuel Station,,", all",17.578115,76.5697742,www.google.com,,
Almatti,,Public Transport,,", all",16.3450459,75.9012249,www.google.com,,
Almatti Dam Power House,,,Water_Activities,"Water_Activities, all",16.327216,75.886436,www.google.com,,
Alnavar Junction,,Public Transport,,", all",15.4245112,74.7383026,www.google.com,,
Alur,,Public Transport,,", all",12.9817317,76.0004054,www.google.com,,
Alvekodi Beach,,,Beaches,"Beaches, all",14.395609,74.40367,www.google.com,,
AM Petrol pump,,Fuel Station,,", all",16.173989,75.6609684,www.google.com,,
Amargol,,Public Transport,,", all",15.4113287,75.0981742,www.google.com,,
Ambewadi,,Public Transport,,", all",15.2729107,74.6174336,www.google.com,,
Ambhutheertha,,,,", all",13.79252,75.176439,www.google.com,,
Ammani Kere,,,,", all",13.071967,78.224651,www.google.com,,
Ammasandra,,Public Transport,,", all",13.2649378,76.7120658,www.google.com,,
Amritapura,,Public Transport,,", all",14.1392581,76.2438872,www.google.com,,
Amrutheshwara Temple,,,Spiritual,"Spiritual, all",13.741444,75.853839,www.google.com,,
Anandapuram,,Public Transport,,", all",14.0747445,75.2098567,www.google.com,,
Ancient 1008 Sri Suparshwanath Swamy Digambar Jain Temple,,,Spiritual,"Spiritual, all",14.111195,74.499519,www.google.com,,
Ancient Digambar Jain Temple,,,Spiritual,"Spiritual, all",15.540537,74.590341,www.google.com,,
Ancient Hanuman Temple,,,Spiritual,"Spiritual, all",15.304283,76.476387,www.google.com,,
Ancient Nandi Statue,,,Heritage,"Heritage, all",15.540521,74.595046,www.google.com,,
Ancient Shri 1008 Bhagwan Adinath Swamy Digambar Jain Temple,,,Spiritual,"Spiritual, all",12.420935,76.682328,www.google.com,,
Ancient Shri 1008 Bhagwan Neminath Digambar Jain Temple,,,Spiritual,"Spiritual, all",15.126961,75.464214,www.google.com,,
Ancient Shri 1008 Bhagwan Shantinath Digambar Jain Temple,,,Spiritual,"Spiritual, all",14.484522,75.265812,www.google.com,,
Ancient Shri Aghoreshvara Temple,,,Spiritual,"Spiritual, all",14.135085,75.022598,www.google.com,,
Ancient Shri Bhagwan Chandranatha Swamy Digambar Jain Temple,,,Spiritual,"Spiritual, all",13.646779,74.729958,www.google.com,,
Ancient Shri Ganapati Temple,,,Spiritual,"Spiritual, all",15.541167,74.5926,www.google.com,,
Ancient Shri Kalameshvara Temple,,,Spiritual,"Spiritual, all",15.540056,74.586085,www.google.com,,
Ancient Shri Keerthi Narayana Swamy Temple,,,Spiritual,"Spiritual, all",13.055856,76.266809,www.google.com,,
Ancient Shri Rameshwar Temple,,,Spiritual,"Spiritual, all",15.54178,74.591334,www.google.com,,
Ancient Shri Suvarneshvara Temple,,,Spiritual,"Spiritual, all",15.540744,74.593465,www.google.com,,
Andhra Bank,,atm,,", all",12.89218403,77.644283,www.google.com,,
Andhra Bank,,atm,,", all",12.89071463,77.58194,www.google.com,,
Andhra Bank,,atm,,", all",12.30619563,76.6445225,www.google.com,,
Andhra Bank,,atm,,", all",12.94886373,77.7079123,www.google.com,,
Andhra Bank,,atm,,", all",12.97783493,77.6465268,www.google.com,,
Andhra Bank,,atm,,", all",13.06740243,77.635487,www.google.com,,
Andhra Bank,,atm,,", all",12.96906933,77.7391248,www.google.com,,
Andhra Bank,,atm,,", all",12.97128533,77.6348681,www.google.com,,
Andhra Bank,,atm,,", all",13.03279673,77.6366258,www.google.com,,
Andhra Bank ATM,,atm,,", all",12.97863893,77.7515713,www.google.com,,
Andhra Bank ATM,,atm,,", all",12.86896183,74.8444482,www.google.com,,
Andhra Bank ATM,,atm,,", all",12.93565583,77.5609792,www.google.com,,
Anegudde Sri Vinayaka Temple,,,Spiritual,"Spiritual, all",13.569307,74.704585,www.google.com,,
Anegudde Vinayaka Temple Rd,,,Spiritual,"Spiritual, all",13.567023,74.701699,www.google.com,,
Anekal Road,,Public Transport,,", all",12.723608,77.7105301,www.google.com,,
Anjanadri Petroleum,,Fuel Station,,", all",17.0903219,77.001516,www.google.com,,
Anjandri Petrol / Gas Station,,Fuel Station,,", all",12.9571325,77.5622967,www.google.com,,
Ankali Mutt,,,,", all",14.205458,76.380979,www.google.com,,
Ankola,,Public Transport,,", all",14.6453588,74.3319253,www.google.com,,
Annadaka Water Falls,,,Waterfalls,"Waterfalls, all",13.15985,75.392067,www.google.com,,
Annigeri,,Public Transport,,", all",15.4324315,75.4335393,www.google.com,,
Anshi National Park,,,National_Park,"National_Park, all",14.9981,74.358747,www.google.com,,
Antharagange,,,,", all",13.142523,78.100519,www.google.com,,
Apollo Clinic,,Hospital,,", all",12.95616047,77.71705132,www.google.com,,
Apsara Konda Waterfalls,,,Waterfalls,"Waterfalls, all",14.231159,74.445838,www.google.com,,
AR Udyog Petrol Pump,,Fuel Station,,", all",15.271067,76.3880975,www.google.com,,
Aralaguppe,,Public Transport,,", all",13.2532244,76.6134466,www.google.com,,
Aravind Service Station,,Fuel Station,,", all",12.3111204,76.6447296,www.google.com,,
Archaeological Museum,,,Heritage,"Heritage, all",14.845249,75.979326,www.google.com,,
Archana Hospital,,Hospital,,", all",12.52419216,76.89745277,www.google.com,,
arnataka Bank,,atm,,", all",12.29682193,76.6414461,www.google.com,,
Arya Vaidya Sala Kottakkal,,Hospital,,", all",12.9414373,77.5840181,www.google.com,,
Asar Mahal,,,,", all",16.826029,75.722602,www.google.com,,
Ashoka Siddapura Hillock,,,Hiking,"Hiking, all",14.813046,76.797846,www.google.com,,
Ashraya Hospital,,Hospital,,", all",14.45688515,75.9086843,www.google.com,,
Ashwini Ayurvedic Hospital and College,,Hospital,,", all",14.47896852,75.87305444,www.google.com,,
"Ashwini Nursing Home, Lakshmipuram",,Hospital,,", all",12.2946086,76.6455473,www.google.com,,
Asnoti,,Public Transport,,", all",14.8762904,74.1475931,www.google.com,,
ATM,,atm,,", all",15.32384323,75.1262558,www.google.com,,
ATM,,atm,,", all",15.32393473,75.1259912,www.google.com,,
ATM,,atm,,", all",12.86925103,74.8438594,www.google.com,,
Attibele,,Public Transport,,", all",12.7778976,77.7711926,www.google.com,,
Attiguppe,,Public Transport,,", all",12.9618931,77.5335788,www.google.com,,
Attiveri Bird Sanctuary,,,,", all",15.86827,74.494915,www.google.com,,
Auto LPG super GAS,,Fuel Station,,", all",12.5276713,76.898127,www.google.com,,
Avinash Petrol / Gas Station,,Fuel Station,,", all",17.3484493,76.840031,www.google.com,,
Axis,,atm,,", all",13.02758573,77.571661,www.google.com,,
Axis,,atm,,", all",16.77156613,77.1381845,www.google.com,,
Axis,,atm,,", all",12.89186483,77.6496129,www.google.com,,
Axis ATM,,atm,,", all",12.87708483,77.6020997,www.google.com,,
Axis ATM,,atm,,", all",12.97191753,77.5370015,www.google.com,,
AXIS ATM,,atm,,", all",13.09971753,77.5758749,www.google.com,,
Axis Bank,,atm,,", all",12.81222244,77.50824185,www.google.com,,
Axis Bank,,atm,,", all",12.96013533,77.6431187,www.google.com,,
Axis Bank,,atm,,", all",13.00562483,77.5622366,www.google.com,,
Axis Bank,,atm,,", all",12.84435353,77.660307,www.google.com,,
Axis Bank,,atm,,", all",12.96432233,77.7146215,www.google.com,,
Axis Bank,,atm,,", all",12.93560593,77.6143393,www.google.com,,
Axis Bank,,atm,,", all",13.33572533,74.7494277,www.google.com,,
Axis Bank,,atm,,", all",12.91678723,77.6086339,www.google.com,,
Axis Bank,,atm,,", all",15.43141833,75.6353517,www.google.com,,
Axis Bank,,atm,,", all",12.29783543,76.6425126,www.google.com,,
